"Current Assigned Rank","Preference","Start Date","Duration","Grade","Region","Sub-Region","Area(Sector)","Dual Training Programme","Places Available","Description","Programme Name","Programme Number","Tags"
"X","Buckinghamshire Healthcare NHS Trust - CT1 - Aug - 1","05/08/2026 00:00:00","36","Core Training Year 1","Thames Valley","Thames Valley Oxford","Buckinghamshire Healthcare NHS Trust","","4","Year 1 - Buckinghamshire Healthcare NHS Trust (Stoke Mandeville Hospital / Wycombe Hospital.  Year 2 & 3 TBC","","",""
"X","Buckinghamshire Healthcare NHS Trust - CT1 - Aug - 2","05/08/2026 00:00:00","48","Core Training Year 1","Thames Valley","Thames Valley Oxford","Buckinghamshire Healthcare NHS Trust","","1","Year 1 - Buckinghamshire Healthcare NHS Trust (Stoke Mandeville Hospital) Emergency Medicine 6 months, Acute Medicine 6 months Year 2 - Milton Keynes University Hospital NHS Foundation Trust (Milton Keynes Hospital) ITU / Anaesthetics. Year 3&4 - TBC.","","",""
"X","East Midlands - CT1 - Aug - 1","05/08/2026 00:00:00","36","Core Training Year 1","East Midlands","-","-","","1","Lincoln Hub L4A26 Aug 26 Boston Feb 27 QMC Aug 27 City (Nottingham) Feb 28 City Aug 28 Lincoln Feb 29 Lincoln Please note rotations are subject to change","","",""
"X","East Midlands - CT1 - Aug - 10","05/08/2026 00:00:00","36","Core Training Year 1","East Midlands","-","-","","1","Nottingham Hub N10A26 Aug 26 QMC Feb 27 QMC Aug 27 City Feb 28 KMH Aug 28 KMH Feb 29 KMH Please note rotations are subject to change","","",""
"X","East Midlands - CT1 - Aug - 11","05/08/2026 00:00:00","36","Core Training Year 1","East Midlands","-","-","","1","Nottingham Hub N15A26 Aug 26 City Feb 27 KMH Aug 27 QMC Feb 28 QMC Aug 28 KMH Feb 29 KMH Please note rotations are subject to change","","",""
"X","East Midlands - CT1 - Aug - 12","05/08/2026 00:00:00","36","Core Training Year 1","East Midlands","-","-","","1","Nottingham Hub N16A26 Aug 26 City Feb 27 KMH Aug 27 KMH Feb 28 KMH Aug 28 QMC Feb 29 QMC Please note rotations are subject to change","","",""
"X","East Midlands - CT1 - Aug - 13","05/08/2026 00:00:00","36","Core Training Year 1","East Midlands","-","-","","1","Derbyshire Hub D1 A26 Aug 26 Derby Aug 27 Burton Aug 28 Chesterfield Please note rotations are subject to change","","",""
"X","East Midlands - CT1 - Aug - 14","05/08/2026 00:00:00","36","Core Training Year 1","East Midlands","-","-","","1","Derbyshire Hub D2 A26  Aug 26 Derby Aug 27 Burton Aug 28 Chesterfield Please note rotations are subject to change","","",""
"X","East Midlands - CT1 - Aug - 15","05/08/2026 00:00:00","36","Core Training Year 1","East Midlands","-","-","","1","Derbyshire Hub D9 A26 Aug 26 Burton Aug 27 Chesterfield Aug 28 Derby Please note rotations are subject to change","","",""
"X","East Midlands - CT1 - Aug - 16","05/08/2026 00:00:00","36","Core Training Year 1","East Midlands","-","-","","1","Derbyshire Hub D10 A26 Aug 26 Burton Aug 27 Chesterfield Aug 28 Derby Please note rotations are subject to change","","",""
"X","East Midlands - CT1 - Aug - 17","05/08/2026 00:00:00","36","Core Training Year 1","East Midlands","-","-","","1","Derbyshire Hub 17A-26 Aug 26 Chesterfield Aug 27 Derby Aug 28 Burton Please note rotations are subject to change","","",""
"X","East Midlands - CT1 - Aug - 18","05/08/2026 00:00:00","36","Core Training Year 1","East Midlands","-","-","","1","Derbyshire Hub 18A-26  Aug 26 Chesterfield Aug 27 Derby Aug 28 Burton Please note rotations are subject to change","","",""
